trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.223,,,100.0
2,pract,L,,,0.358,,,110.0
3,pract,L,,,0.38,,,100.0
4,pract,R,,,0.361,,,90.0
5,pract,R,,,0.305,,,80.0
6,pract,R,,,0.295,,,70.0
7,pract,R,,,0.385,,,60.0
8,pract,R,,,0.342,,,50.0
9,pract,L,,,0.379,,,40.0
10,pract,L,,,0.231,,,30.0
11,pract,L,,,0.296,,,20.0
12,pract,R,,,0.275,,,15.0
13,pract,R,,,0.331,,,10.0
14,pract,L,,,0.25,,,8.0
15,pract,R,,,0.314,,,6.0
16,pract,R,,,0.269,,,4.0
17,pract,L,,,0.222,,,2.0
18,pract,L,,,0.324,,,4.0
19,pract,L,,,0.332,,,2.0
20,pract,L,,,0.312,,,4.0
21,pract,R,,,0.27,,,2.0
22,pract,R,,,0.226,,,4.0
23,pract,R,,,0.337,,,2.0
24,pract,L,,,0.369,,,4.0
25,pract,L,,,0.275,,,2.0
